,genres,norm_per_year,production_companies,total_films,year
7446,Romance,0.0,Metro-Goldwyn-Mayer (MGM),0,1965
7445,Romance,0.0,New Line Cinema,0,1965
7444,Romance,0.0,Paramount Pictures,0,1965
7448,Romance,0.0,Relativity Media,0,1965
7449,Romance,0.0,Touchstone Pictures,0,1965
7440,Romance,0.0,Twentieth Century Fox Film Corporation,0,1965
7447,Romance,0.0,Universal Pictures,0,1965
7441,Romance,0.0,Walt Disney Pictures,0,1965
7443,Romance,0.0,Warner Bros.,0,1965
7382,Science Fiction,0.0,Columbia Pictures,0,1965
7386,Science Fiction,0.0,Metro-Goldwyn-Mayer (MGM),0,1965
7385,Science Fiction,0.0,New Line Cinema,0,1965
7384,Science Fiction,0.0,Paramount Pictures,0,1965
7388,Science Fiction,0.0,Relativity Media,0,1965
7389,Science Fiction,0.0,Touchstone Pictures,0,1965
4,Science Fiction,1.0,Twentieth Century Fox Film Corporation,1,1965
7387,Science Fiction,0.0,Universal Pictures,0,1965
7381,Science Fiction,0.0,Walt Disney Pictures,0,1965
7383,Science Fiction,0.0,Warner Bros.,0,1965
7412,Thriller,0.0,Columbia Pictures,0,1965
7416,Thriller,0.0,Metro-Goldwyn-Mayer (MGM),0,1965
7415,Thriller,0.0,New Line Cinema,0,1965
7414,Thriller,0.0,Paramount Pictures,0,1965
7418,Thriller,0.0,Relativity Media,0,1965
7419,Thriller,0.0,Touchstone Pictures,0,1965
7410,Thriller,0.0,Twentieth Century Fox Film Corporation,0,1965
5,Thriller,0.5,Universal Pictures,1,1965
7411,Thriller,0.0,Walt Disney Pictures,0,1965
9,Thriller,0.5,Warner Bros.,1,1965
7482,War,0.0,Columbia Pictures,0,1965
7486,War,0.0,Metro-Goldwyn-Mayer (MGM),0,1965
7485,War,0.0,New Line Cinema,0,1965
7484,War,0.0,Paramount Pictures,0,1965
7488,War,0.0,Relativity Media,0,1965
7489,War,0.0,Touchstone Pictures,0,1965
7480,War,0.0,Twentieth Century Fox Film Corporation,0,1965
7487,War,0.0,Universal Pictures,0,1965
7481,War,0.0,Walt Disney Pictures,0,1965
7483,War,0.0,Warner Bros.,0,1965
7432,Western,0.0,Columbia Pictures,0,1965
7436,Western,0.0,Metro-Goldwyn-Mayer (MGM),0,1965
7435,Western,0.0,New Line Cinema,0,1965
