,year,production_companies,total_films,norm_per_year
405,1970,New Line Cinema,0,0
9,1970,Paramount Pictures,5,0.454545455
408,1970,Relativity Media,0,0
409,1970,Touchstone Pictures,0,0
10,1970,Twentieth Century Fox Film Corporation,4,0.363636364
407,1970,Universal Pictures,0,0
401,1970,Walt Disney Pictures,0,0
11,1970,Warner Bros.,2,0.181818182
422,1971,Columbia Pictures,0,0
426,1971,Metro-Goldwyn-Mayer (MGM),0,0
425,1971,New Line Cinema,0,0
12,1971,Paramount Pictures,1,0.25
428,1971,Relativity Media,0,0
429,1971,Touchstone Pictures,0,0
13,1971,Twentieth Century Fox Film Corporation,2,0.5
14,1971,Universal Pictures,1,0.25
421,1971,Walt Disney Pictures,0,0
423,1971,Warner Bros.,0,0
482,1972,Columbia Pictures,0,0
486,1972,Metro-Goldwyn-Mayer (MGM),0,0
485,1972,New Line Cinema,0,0
15,1972,Paramount Pictures,1,0.25
488,1972,Relativity Media,0,0
489,1972,Touchstone Pictures,0,0
16,1972,Twentieth Century Fox Film Corporation,1,0.25
17,1972,Universal Pictures,2,0.5
481,1972,Walt Disney Pictures,0,0
483,1972,Warner Bros.,0,0
452,1973,Columbia Pictures,0,0
18,1973,Metro-Goldwyn-Mayer (MGM),1,0.166666667
455,1973,New Line Cinema,0,0
454,1973,Paramount Pictures,0,0
458,1973,Relativity Media,0,0
459,1973,Touchstone Pictures,0,0
19,1973,Twentieth Century Fox Film Corporation,1,0.166666667
20,1973,Universal Pictures,3,0.5
451,1973,Walt Disney Pictures,0,0
21,1973,Warner Bros.,1,0.166666667
442,1974,Columbia Pictures,0,0
446,1974,Metro-Goldwyn-Mayer (MGM),0,0
22,1974,New Line Cinema,1,0.2
23,1974,Paramount Pictures,2,0.4
448,1974,Relativity Media,0,0
449,1974,Touchstone Pictures,0,0
24,1974,Twentieth Century Fox Film Corporation,1,0.2
447,1974,Universal Pictures,0,0
441,1974,Walt Disney Pictures,0,0
25,1974,Warner Bros.,1,0.2
462,1975,Columbia Pictures,0,0
466,1975,Metro-Goldwyn-Mayer (MGM),0,0
465,1975,New Line Cinema,0,0
464,1975,Paramount Pictures,0,0
468,1975,Relativity Media,0,0
469,1975,Touchstone Pictures,0,0
460,1975,Twentieth Century Fox Film Corporation,0,0
26,1975,Universal Pictures,1,0.333333333
461,1975,Walt Disney Pictures,0,0
27,1975,Warner Bros.,2,0.666666667
372,1976,Columbia Pictures,0,0
28,1976,Metro-Goldwyn-Mayer (MGM),2,0.4
375,1976,New Line Cinema,0,0
29,1976,Paramount Pictures,1,0.2
378,1976,Relativity Media,0,0
379,1976,Touchstone Pictures,0,0
30,1976,Twentieth Century Fox Film Corporation,1,0.2
31,1976,Universal Pictures,1,0.2
371,1976,Walt Disney Pictures,0,0
373,1976,Warner Bros.,0,0
412,1977,Columbia Pictures,0,0
416,1977,Metro-Goldwyn-Mayer (MGM),0,0
415,1977,New Line Cinema,0,0
32,1977,Paramount Pictures,1,0.142857143
418,1977,Relativity Media,0,0
419,1977,Touchstone Pictures,0,0
33,1977,Twentieth Century Fox Film Corporation,4,0.571428571
34,1977,Universal Pictures,1,0.142857143
411,1977,Walt Disney Pictures,0,0
35,1977,Warner Bros.,1,0.142857143
292,1978,Columbia Pictures,0,0
296,1978,Metro-Goldwyn-Mayer (MGM),0,0
295,1978,New Line Cinema,0,0
36,1978,Paramount Pictures,2,0.25
298,1978,Relativity Media,0,0
299,1978,Touchstone Pictures,0,0
290,1978,Twentieth Century Fox Film Corporation,0,0
37,1978,Universal Pictures,5,0.625
291,1978,Walt Disney Pictures,0,0
38,1978,Warner Bros.,1,0.125
39,1979,Columbia Pictures,1,0.125
246,1979,Metro-Goldwyn-Mayer (MGM),0,0
245,1979,New Line Cinema,0,0
40,1979,Paramount Pictures,3,0.375
248,1979,Relativity Media,0,0
249,1979,Touchstone Pictures,0,0
41,1979,Twentieth Century Fox Film Corporation,3,0.375
42,1979,Universal Pictures,1,0.125
241,1979,Walt Disney Pictures,0,0
243,1979,Warner Bros.,0,0
302,1980,Columbia Pictures,0,0
306,1980,Metro-Goldwyn-Mayer (MGM),0,0
305,1980,New Line Cinema,0,0
43,1980,Paramount Pictures,2,0.222222222
308,1980,Relativity Media,0,0
309,1980,Touchstone Pictures,0,0
44,1980,Twentieth Century Fox Film Corporation,1,0.111111111
45,1980,Universal Pictures,2,0.222222222
301,1980,Walt Disney Pictures,0,0
46,1980,Warner Bros.,4,0.444444444
322,1981,Columbia Pictures,0,0
47,1981,Metro-Goldwyn-Mayer (MGM),1,0.090909091
325,1981,New Line Cinema,0,0
48,1981,Paramount Pictures,4,0.363636364
328,1981,Relativity Media,0,0
329,1981,Touchstone Pictures,0,0
49,1981,Twentieth Century Fox Film Corporation,2,0.181818182
50,1981,Universal Pictures,3,0.272727273
321,1981,Walt Disney Pictures,0,0
51,1981,Warner Bros.,1,0.090909091
52,1982,Columbia Pictures,1,0.0625
53,1982,Metro-Goldwyn-Mayer (MGM),3,0.1875
235,1982,New Line Cinema,0,0
54,1982,Paramount Pictures,2,0.125
238,1982,Relativity Media,0,0
239,1982,Touchstone Pictures,0,0
55,1982,Twentieth Century Fox Film Corporation,1,0.0625
56,1982,Universal Pictures,7,0.4375
231,1982,Walt Disney Pictures,0,0
57,1982,Warner Bros.,2,0.125
352,1983,Columbia Pictures,0,0
58,1983,Metro-Goldwyn-Mayer (MGM),3,0.214285714
355,1983,New Line Cinema,0,0
59,1983,Paramount Pictures,3,0.214285714
358,1983,Relativity Media,0,0
359,1983,Touchstone Pictures,0,0
60,1983,Twentieth Century Fox Film Corporation,1,0.071428571
61,1983,Universal Pictures,2,0.142857143
351,1983,Walt Disney Pictures,0,0
62,1983,Warner Bros.,5,0.357142857
63,1984,Columbia Pictures,1,0.066666667
64,1984,Metro-Goldwyn-Mayer (MGM),1,0.066666667
65,1984,New Line Cinema,1,0.066666667
66,1984,Paramount Pictures,5,0.333333333
368,1984,Relativity Media,0,0
67,1984,Touchstone Pictures,1,0.066666667
360,1984,Twentieth Century Fox Film Corporation,0,0
68,1984,Universal Pictures,1,0.066666667
361,1984,Walt Disney Pictures,0,0
69,1984,Warner Bros.,5,0.333333333
70,1985,Columbia Pictures,1,0.071428571
71,1985,Metro-Goldwyn-Mayer (MGM),1,0.071428571
72,1985,New Line Cinema,1,0.071428571
73,1985,Paramount Pictures,3,0.214285714
398,1985,Relativity Media,0,0
399,1985,Touchstone Pictures,0,0
74,1985,Twentieth Century Fox Film Corporation,2,0.142857143
75,1985,Universal Pictures,2,0.142857143
391,1985,Walt Disney Pictures,0,0
76,1985,Warner Bros.,4,0.285714286
77,1986,Columbia Pictures,1,0.071428571
78,1986,Metro-Goldwyn-Mayer (MGM),1,0.071428571
335,1986,New Line Cinema,0,0
79,1986,Paramount Pictures,6,0.428571429
338,1986,Relativity Media,0,0
80,1986,Touchstone Pictures,1,0.071428571
81,1986,Twentieth Century Fox Film Corporation,2,0.142857143
82,1986,Universal Pictures,2,0.142857143
331,1986,Walt Disney Pictures,0,0
83,1986,Warner Bros.,1,0.071428571
84,1987,Columbia Pictures,2,0.133333333
85,1987,Metro-Goldwyn-Mayer (MGM),1,0.066666667
86,1987,New Line Cinema,1,0.066666667
87,1987,Paramount Pictures,3,0.2
348,1987,Relativity Media,0,0
88,1987,Touchstone Pictures,2,0.133333333
89,1987,Twentieth Century Fox Film Corporation,2,0.133333333
90,1987,Universal Pictures,2,0.133333333
341,1987,Walt Disney Pictures,0,0
91,1987,Warner Bros.,2,0.133333333
92,1988,Columbia Pictures,1,0.058823529
93,1988,Metro-Goldwyn-Mayer (MGM),1,0.058823529
94,1988,New Line Cinema,1,0.058823529
95,1988,Paramount Pictures,3,0.176470588
388,1988,Relativity Media,0,0
389,1988,Touchstone Pictures,0,0
96,1988,Twentieth Century Fox Film Corporation,3,0.176470588
97,1988,Universal Pictures,6,0.352941176
381,1988,Walt Disney Pictures,0,0
98,1988,Warner Bros.,2,0.117647059
99,1989,Columbia Pictures,1,0.055555556
276,1989,Metro-Goldwyn-Mayer (MGM),0,0
100,1989,New Line Cinema,1,0.055555556
101,1989,Paramount Pictures,7,0.388888889
278,1989,Relativity Media,0,0
102,1989,Touchstone Pictures,2,0.111111111
103,1989,Twentieth Century Fox Film Corporation,1,0.055555556
104,1989,Universal Pictures,3,0.166666667
271,1989,Walt Disney Pictures,0,0
105,1989,Warner Bros.,3,0.166666667
262,1990,Columbia Pictures,0,0
106,1990,Metro-Goldwyn-Mayer (MGM),1,0.05
265,1990,New Line Cinema,0,0
107,1990,Paramount Pictures,4,0.2
268,1990,Relativity Media,0,0
108,1990,Touchstone Pictures,3,0.15
109,1990,Twentieth Century Fox Film Corporation,5,0.25
110,1990,Universal Pictures,5,0.25
111,1990,Walt Disney Pictures,1,0.05
112,1990,Warner Bros.,1,0.05
113,1991,Columbia Pictures,2,0.142857143
114,1991,Metro-Goldwyn-Mayer (MGM),1,0.071428571
115,1991,New Line Cinema,2,0.142857143
116,1991,Paramount Pictures,4,0.285714286
318,1991,Relativity Media,0,0
319,1991,Touchstone Pictures,0,0
310,1991,Twentieth Century Fox Film Corporation,0,0
117,1991,Universal Pictures,1,0.071428571
118,1991,Walt Disney Pictures,1,0.071428571
119,1991,Warner Bros.,3,0.214285714
120,1992,Columbia Pictures,2,0.086956522
121,1992,Metro-Goldwyn-Mayer (MGM),1,0.043478261
122,1992,New Line Cinema,2,0.086956522
123,1992,Paramount Pictures,3,0.130434783
258,1992,Relativity Media,0,0
259,1992,Touchstone Pictures,0,0
124,1992,Twentieth Century Fox Film Corporation,4,0.173913043
125,1992,Universal Pictures,3,0.130434783
126,1992,Walt Disney Pictures,2,0.086956522
127,1992,Warner Bros.,6,0.260869565
128,1993,Columbia Pictures,5,0.217391304
286,1993,Metro-Goldwyn-Mayer (MGM),0,0
129,1993,New Line Cinema,5,0.217391304
130,1993,Paramount Pictures,3,0.130434783
288,1993,Relativity Media,0,0
131,1993,Touchstone Pictures,2,0.086956522
132,1993,Twentieth Century Fox Film Corporation,1,0.043478261
133,1993,Universal Pictures,2,0.086956522
134,1993,Walt Disney Pictures,2,0.086956522
135,1993,Warner Bros.,3,0.130434783
136,1994,Columbia Pictures,2,0.057142857
216,1994,Metro-Goldwyn-Mayer (MGM),0,0
137,1994,New Line Cinema,4,0.114285714
138,1994,Paramount Pictures,5,0.142857143
218,1994,Relativity Media,0,0
139,1994,Touchstone Pictures,3,0.085714286
140,1994,Twentieth Century Fox Film Corporation,3,0.085714286
141,1994,Universal Pictures,6,0.171428571
