,year,genres,total_films,norm_per_year
0,1965,Action,1,0.06666666666666667
1,1965,Adventure,1,0.06666666666666667
2,1965,Comedy,2,0.13333333333333333
3,1965,Crime,2,0.13333333333333333
4,1965,Drama,2,0.13333333333333333
5,1965,Family,1,0.06666666666666667
752,1965,Fantasy,0,0.0
6,1965,History,1,0.06666666666666667
761,1965,Horror,0,0.0
7,1965,Music,1,0.06666666666666667
760,1965,Romance,0,0.0
8,1965,Science Fiction,1,0.06666666666666667
9,1965,Thriller,2,0.13333333333333333
763,1965,War,0,0.0
10,1965,Western,1,0.06666666666666667
0,1966,Action,1,0.06666666666666667
1,1966,Adventure,1,0.06666666666666667
2,1966,Comedy,2,0.13333333333333333
3,1966,Crime,2,0.13333333333333333
4,1966,Drama,2,0.13333333333333333
5,1966,Family,1,0.06666666666666667
752,1966,Fantasy,0,0.0
6,1966,History,1,0.06666666666666667
761,1966,Horror,0,0.0
7,1966,Music,1,0.06666666666666667
760,1966,Romance,0,0.0
8,1966,Science Fiction,1,0.06666666666666667
9,1966,Thriller,2,0.13333333333333333
763,1966,War,0,0.0
10,1966,Western,1,0.06666666666666667
11,1967,Action,2,0.18181818181818182
12,1967,Adventure,1,0.09090909090909091
744,1967,Comedy,0,0.0
13,1967,Crime,2,0.18181818181818182
14,1967,Drama,2,0.18181818181818182
742,1967,Family,0,0.0
737,1967,Fantasy,0,0.0
15,1967,History,1,0.09090909090909091
16,1967,Horror,1,0.09090909090909091
749,1967,Music,0,0.0
745,1967,Romance,0,0.0
738,1967,Science Fiction,0,0.0
17,1967,Thriller,2,0.18181818181818182
748,1967,War,0,0.0
743,1967,Western,0,0.0
540,1968,Action,0,0.0
18,1968,Adventure,1,0.05555555555555555
19,1968,Comedy,1,0.05555555555555555
544,1968,Crime,0,0.0
20,1968,Drama,4,0.2222222222222222
21,1968,Family,2,0.1111111111111111
542,1968,Fantasy,0,0.0
552,1968,History,0,0.0
22,1968,Horror,2,0.1111111111111111
23,1968,Music,1,0.05555555555555555
24,1968,Romance,1,0.05555555555555555
25,1968,Science Fiction,3,0.16666666666666666
546,1968,Thriller,0,0.0
553,1968,War,0,0.0
26,1968,Western,3,0.16666666666666666
27,1969,Action,4,0.13333333333333333
28,1969,Adventure,2,0.06666666666666667
29,1969,Comedy,3,0.1
30,1969,Crime,3,0.1
31,1969,Drama,7,0.23333333333333334
697,1969,Family,0,0.0
692,1969,Fantasy,0,0.0
32,1969,History,1,0.03333333333333333
701,1969,Horror,0,0.0
33,1969,Music,2,0.06666666666666667
34,1969,Romance,2,0.06666666666666667
693,1969,Science Fiction,0,0.0
35,1969,Thriller,3,0.1
703,1969,War,0,0.0
36,1969,Western,3,0.1
37,1970,Action,4,0.11764705882352941
38,1970,Adventure,3,0.08823529411764706
39,1970,Comedy,4,0.11764705882352941
664,1970,Crime,0,0.0
40,1970,Drama,8,0.23529411764705882
667,1970,Family,0,0.0
662,1970,Fantasy,0,0.0
41,1970,History,5,0.14705882352941177
671,1970,Horror,0,0.0
42,1970,Music,2,0.058823529411764705
43,1970,Romance,1,0.029411764705882353
44,1970,Science Fiction,1,0.029411764705882353
45,1970,Thriller,2,0.058823529411764705
46,1970,War,3,0.08823529411764706
47,1970,Western,1,0.029411764705882353
48,1971,Action,4,0.18181818181818182
49,1971,Adventure,1,0.045454545454545456
50,1971,Comedy,1,0.045454545454545456
51,1971,Crime,2,0.09090909090909091
52,1971,Drama,3,0.13636363636363635
53,1971,Family,1,0.045454545454545456
54,1971,Fantasy,1,0.045454545454545456
687,1971,History,0,0.0
55,1971,Horror,1,0.045454545454545456
689,1971,Music,0,0.0
56,1971,Romance,3,0.13636363636363635
57,1971,Science Fiction,2,0.09090909090909091
58,1971,Thriller,3,0.13636363636363635
688,1971,War,0,0.0
683,1971,Western,0,0.0
59,1972,Action,1,0.045454545454545456
60,1972,Adventure,2,0.09090909090909091
61,1972,Comedy,3,0.13636363636363635
62,1972,Crime,3,0.13636363636363635
63,1972,Drama,6,0.2727272727272727
517,1972,Family,0,0.0
512,1972,Fantasy,0,0.0
64,1972,History,1,0.045454545454545456
65,1972,Horror,1,0.045454545454545456
66,1972,Music,1,0.045454545454545456
520,1972,Romance,0,0.0
67,1972,Science Fiction,3,0.13636363636363635
68,1972,Thriller,1,0.045454545454545456
523,1972,War,0,0.0
518,1972,Western,0,0.0
69,1973,Action,2,0.1
70,1973,Adventure,1,0.05
71,1973,Comedy,3,0.15
72,1973,Crime,2,0.1
73,1973,Drama,4,0.2
607,1973,Family,0,0.0
602,1973,Fantasy,0,0.0
612,1973,History,0,0.0
74,1973,Horror,1,0.05
614,1973,Music,0,0.0
75,1973,Romance,1,0.05
76,1973,Science Fiction,2,0.1
77,1973,Thriller,2,0.1
613,1973,War,0,0.0
78,1973,Western,2,0.1
79,1974,Action,1,0.05555555555555555
80,1974,Adventure,2,0.1111111111111111
81,1974,Comedy,3,0.16666666666666666
82,1974,Crime,2,0.1111111111111111
83,1974,Drama,3,0.16666666666666666
84,1974,Family,1,0.05555555555555555
707,1974,Fantasy,0,0.0
717,1974,History,0,0.0
85,1974,Horror,1,0.05555555555555555
719,1974,Music,0,0.0
86,1974,Romance,2,0.1111111111111111
87,1974,Science Fiction,1,0.05555555555555555
88,1974,Thriller,1,0.05555555555555555
718,1974,War,0,0.0
89,1974,Western,1,0.05555555555555555
90,1975,Action,1,0.07142857142857142
91,1975,Adventure,2,0.14285714285714285
92,1975,Comedy,3,0.21428571428571427
724,1975,Crime,0,0.0
93,1975,Drama,2,0.14285714285714285
727,1975,Family,0,0.0
94,1975,Fantasy,1,0.07142857142857142
732,1975,History,0,0.0
95,1975,Horror,1,0.07142857142857142
734,1975,Music,0,0.0
96,1975,Romance,1,0.07142857142857142
97,1975,Science Fiction,1,0.07142857142857142
98,1975,Thriller,1,0.07142857142857142
99,1975,War,1,0.07142857142857142
728,1975,Western,0,0.0
100,1976,Action,2,0.1
101,1976,Adventure,2,0.1
102,1976,Comedy,3,0.15
103,1976,Crime,2,0.1
104,1976,Drama,4,0.2
105,1976,Family,1,0.05
632,1976,Fantasy,0,0.0
642,1976,History,0,0.0
106,1976,Horror,1,0.05
644,1976,Music,0,0.0
107,1976,Romance,2,0.1
108,1976,Science Fiction,1,0.05
109,1976,Thriller,2,0.1
643,1976,War,0,0.0
638,1976,Western,0,0.0
110,1977,Action,6,0.13636363636363635
111,1977,Adventure,5,0.11363636363636363
112,1977,Comedy,3,0.06818181818181818
649,1977,Crime,0,0.0
113,1977,Drama,8,0.18181818181818182
652,1977,Family,0,0.0
114,1977,Fantasy,2,0.045454545454545456
115,1977,History,1,0.022727272727272728
116,1977,Horror,3,0.06818181818181818
117,1977,Music,2,0.045454545454545456
118,1977,Romance,2,0.045454545454545456
119,1977,Science Fiction,6,0.13636363636363635
120,1977,Thriller,4,0.09090909090909091
121,1977,War,2,0.045454545454545456
653,1977,Western,0,0.0
122,1978,Action,5,0.13513513513513514
123,1978,Adventure,4,0.10810810810810811
124,1978,Comedy,1,0.02702702702702703
484,1978,Crime,0,0.0
125,1978,Drama,5,0.13513513513513514
126,1978,Family,1,0.02702702702702703
127,1978,Fantasy,2,0.05405405405405406
492,1978,History,0,0.0
128,1978,Horror,4,0.10810810810810811
129,1978,Music,2,0.05405405405405406
130,1978,Romance,3,0.08108108108108109
131,1978,Science Fiction,3,0.08108108108108109
132,1978,Thriller,5,0.13513513513513514
133,1978,War,2,0.05405405405405406
488,1978,Western,0,0.0
134,1979,Action,7,0.15555555555555556
135,1979,Adventure,7,0.15555555555555556
136,1979,Comedy,2,0.044444444444444446
137,1979,Crime,2,0.044444444444444446
138,1979,Drama,6,0.13333333333333333
139,1979,Family,3,0.06666666666666667
407,1979,Fantasy,0,0.0
417,1979,History,0,0.0
140,1979,Horror,2,0.044444444444444446
141,1979,Music,2,0.044444444444444446
142,1979,Romance,1,0.022222222222222223
143,1979,Science Fiction,7,0.15555555555555556
144,1979,Thriller,5,0.1111111111111111
145,1979,War,1,0.022222222222222223
413,1979,Western,0,0.0
146,1980,Action,5,0.10638297872340426
147,1980,Adventure,3,0.06382978723404255
148,1980,Comedy,6,0.1276595744680851
149,1980,Crime,1,0.02127659574468085
150,1980,Drama,9,0.19148936170212766
502,1980,Family,0,0.0
151,1980,Fantasy,2,0.0425531914893617
152,1980,History,3,0.06382978723404255
153,1980,Horror,3,0.06382978723404255
154,1980,Music,3,0.06382978723404255
155,1980,Romance,2,0.0425531914893617
156,1980,Science Fiction,5,0.10638297872340426
157,1980,Thriller,3,0.06382978723404255
508,1980,War,0,0.0
158,1980,Western,2,0.0425531914893617
159,1981,Action,9,0.12162162162162163
160,1981,Adventure,10,0.13513513513513514
161,1981,Comedy,8,0.10810810810810811
162,1981,Crime,3,0.04054054054054054
163,1981,Drama,10,0.13513513513513514
164,1981,Family,2,0.02702702702702703
165,1981,Fantasy,2,0.02702702702702703
166,1981,History,5,0.06756756756756757
167,1981,Horror,5,0.06756756756756757
539,1981,Music,0,0.0
168,1981,Romance,4,0.05405405405405406
169,1981,Science Fiction,4,0.05405405405405406
170,1981,Thriller,8,0.10810810810810811
171,1981,War,3,0.04054054054054054
172,1981,Western,1,0.013513513513513514
173,1982,Action,8,0.12307692307692308
174,1982,Adventure,6,0.09230769230769231
175,1982,Comedy,6,0.09230769230769231
176,1982,Crime,2,0.03076923076923077
177,1982,Drama,8,0.12307692307692308
178,1982,Family,2,0.03076923076923077
179,1982,Fantasy,5,0.07692307692307693
180,1982,History,1,0.015384615384615385
181,1982,Horror,8,0.12307692307692308
389,1982,Music,0,0.0
182,1982,Romance,2,0.03076923076923077
183,1982,Science Fiction,8,0.12307692307692308
184,1982,Thriller,7,0.1076923076923077
185,1982,War,1,0.015384615384615385
186,1982,Western,1,0.015384615384615385
187,1983,Action,7,0.1111111111111111
188,1983,Adventure,7,0.1111111111111111
189,1983,Comedy,5,0.07936507936507936
190,1983,Crime,3,0.047619047619047616
191,1983,Drama,10,0.15873015873015872
192,1983,Family,1,0.015873015873015872
193,1983,Fantasy,3,0.047619047619047616
194,1983,History,1,0.015873015873015872
195,1983,Horror,3,0.047619047619047616
196,1983,Music,2,0.031746031746031744
197,1983,Romance,5,0.07936507936507936
198,1983,Science Fiction,6,0.09523809523809523
199,1983,Thriller,8,0.12698412698412698
628,1983,War,0,0.0
200,1983,Western,2,0.031746031746031744
201,1984,Action,12,0.14457831325301204
202,1984,Adventure,7,0.08433734939759036
203,1984,Comedy,9,0.10843373493975904
204,1984,Crime,6,0.07228915662650602
205,1984,Drama,10,0.12048192771084337
206,1984,Family,2,0.024096385542168676
207,1984,Fantasy,6,0.07228915662650602
208,1984,History,3,0.03614457831325301
209,1984,Horror,7,0.08433734939759036
210,1984,Music,3,0.03614457831325301
211,1984,Romance,3,0.03614457831325301
212,1984,Science Fiction,8,0.0963855421686747
213,1984,Thriller,7,0.08433734939759036
463,1984,War,0,0.0
458,1984,Western,0,0.0
214,1985,Action,10,0.13157894736842105
215,1985,Adventure,10,0.13157894736842105
216,1985,Comedy,5,0.06578947368421052
217,1985,Crime,3,0.039473684210526314
218,1985,Drama,10,0.13157894736842105
219,1985,Family,4,0.05263157894736842
220,1985,Fantasy,4,0.05263157894736842
567,1985,History,0,0.0
221,1985,Horror,5,0.06578947368421052
222,1985,Music,1,0.013157894736842105
223,1985,Romance,6,0.07894736842105263
224,1985,Science Fiction,6,0.07894736842105263
225,1985,Thriller,9,0.11842105263157894
226,1985,War,1,0.013157894736842105
227,1985,Western,2,0.02631578947368421
228,1986,Action,7,0.1111111111111111
229,1986,Adventure,7,0.1111111111111111
230,1986,Comedy,8,0.12698412698412698
231,1986,Crime,4,0.06349206349206349
232,1986,Drama,9,0.14285714285714285
592,1986,Family,0,0.0
233,1986,Fantasy,4,0.06349206349206349
597,1986,History,0,0.0
234,1986,Horror,7,0.1111111111111111
235,1986,Music,1,0.015873015873015872
236,1986,Romance,6,0.09523809523809523
237,1986,Science Fiction,5,0.07936507936507936
238,1986,Thriller,3,0.047619047619047616
239,1986,War,2,0.031746031746031744
593,1986,Western,0,0.0
240,1987,Action,8,0.10256410256410256
241,1987,Adventure,9,0.11538461538461539
242,1987,Comedy,13,0.16666666666666666
243,1987,Crime,3,0.038461538461538464
244,1987,Drama,11,0.14102564102564102
245,1987,Family,4,0.05128205128205128
246,1987,Fantasy,5,0.0641025641025641
247,1987,History,2,0.02564102564102564
248,1987,Horror,6,0.07692307692307693
249,1987,Music,2,0.02564102564102564
250,1987,Romance,3,0.038461538461538464
251,1987,Science Fiction,4,0.05128205128205128
252,1987,Thriller,7,0.08974358974358974
253,1987,War,1,0.01282051282051282
578,1987,Western,0,0.0
254,1988,Action,7,0.0958904109589041
255,1988,Adventure,6,0.0821917808219178
256,1988,Comedy,10,0.136986301369863
257,1988,Crime,4,0.0547945205479452
258,1988,Drama,12,0.1643835616438356
259,1988,Family,2,0.0273972602739726
260,1988,Fantasy,3,0.0410958904109589
477,1988,History,0,0.0
261,1988,Horror,9,0.1232876712328767
479,1988,Music,0,0.0
262,1988,Romance,3,0.0410958904109589
263,1988,Science Fiction,4,0.0547945205479452
264,1988,Thriller,11,0.1506849315068493
265,1988,War,1,0.0136986301369863
266,1988,Western,1,0.0136986301369863
267,1989,Action,11,0.14102564102564102
268,1989,Adventure,10,0.1282051282051282
269,1989,Comedy,12,0.15384615384615385
270,1989,Crime,3,0.038461538461538464
271,1989,Drama,11,0.14102564102564102
272,1989,Family,2,0.02564102564102564
273,1989,Fantasy,2,0.02564102564102564
274,1989,History,2,0.02564102564102564
275,1989,Horror,6,0.07692307692307693
449,1989,Music,0,0.0
276,1989,Romance,3,0.038461538461538464
277,1989,Science Fiction,5,0.0641025641025641
278,1989,Thriller,8,0.10256410256410256
279,1989,War,3,0.038461538461538464
443,1989,Western,0,0.0
280,1990,Action,8,0.10526315789473684
281,1990,Adventure,8,0.10526315789473684
282,1990,Comedy,11,0.14473684210526316
283,1990,Crime,4,0.05263157894736842
284,1990,Drama,10,0.13157894736842105
285,1990,Family,4,0.05263157894736842
286,1990,Fantasy,3,0.039473684210526314
327,1990,History,0,0.0
287,1990,Horror,7,0.09210526315789473
329,1990,Music,0,0.0
288,1990,Romance,5,0.06578947368421052
289,1990,Science Fiction,5,0.06578947368421052
290,1990,Thriller,9,0.11842105263157894
328,1990,War,0,0.0
291,1990,Western,2,0.02631578947368421
292,1991,Action,11,0.13095238095238096
293,1991,Adventure,10,0.11904761904761904
294,1991,Comedy,11,0.13095238095238096
295,1991,Crime,6,0.07142857142857142
296,1991,Drama,13,0.15476190476190477
297,1991,Family,5,0.05952380952380952
298,1991,Fantasy,4,0.047619047619047616
299,1991,History,1,0.011904761904761904
300,1991,Horror,2,0.023809523809523808
301,1991,Music,1,0.011904761904761904
302,1991,Romance,4,0.047619047619047616
303,1991,Science Fiction,5,0.05952380952380952
304,1991,Thriller,11,0.13095238095238096
343,1991,War,0,0.0
338,1991,Western,0,0.0
305,1992,Action,9,0.09473684210526316
306,1992,Adventure,5,0.05263157894736842
307,1992,Comedy,12,0.12631578947368421
308,1992,Crime,11,0.11578947368421053
309,1992,Drama,13,0.1368421052631579
310,1992,Family,4,0.042105263157894736
311,1992,Fantasy,6,0.06315789473684211
312,1992,History,3,0.031578947368421054
313,1992,Horror,6,0.06315789473684211
314,1992,Music,2,0.021052631578947368
315,1992,Romance,7,0.07368421052631578
316,1992,Science Fiction,5,0.05263157894736842
317,1992,Thriller,10,0.10526315789473684
318,1992,War,1,0.010526315789473684
319,1992,Western,1,0.010526315789473684
320,1993,Action,17,0.12408759124087591
321,1993,Adventure,13,0.0948905109489051
322,1993,Comedy,14,0.10218978102189781
323,1993,Crime,8,0.058394160583941604
324,1993,Drama,26,0.1897810218978102
325,1993,Family,8,0.058394160583941604
326,1993,Fantasy,10,0.072992700729927
327,1993,History,3,0.021897810218978103
328,1993,Horror,3,0.021897810218978103
329,1993,Music,2,0.014598540145985401
330,1993,Romance,11,0.08029197080291971
